,Deputat,Grad,Grad_Ponderat,Degree_Centrality,Power_Centrality_Bonacich,Betweenness_Centrality,Stress_Centrality,Prestige_Centrality_PageRank,Eccentricity_Centrality
1,Alexandr TRUBCA,13,16,0.22033898305084745,0.06617646788231647,0.22840909257363162,0.0973115137346581,0.016666666666666666,0.25
2,Radu MARIAN,13,23,0.22033898305084745,0.07882938955838822,0.12231245364531526,0.11279953243717125,0.016666666666666666,0.25
3,Adrian BELÎI,11,18,0.1864406779661017,0.25756776580465296,0.09064788896066389,0.1011104617182934,0.016666666666666666,0.25
4,Artemie CĂTĂNOI,10,25,0.1694915254237288,0.5520251181913874,0.06871880900380702,0.1163062536528346,0.016666666666666666,0.2
5,Veronica ROȘCA,9,28,0.15254237288135594,0.6003226542430654,0.03190953958049224,0.06282875511396845,0.016666666666666666,0.25
6,Ana OGLINDA,9,12,0.15254237288135594,0.14006775605806862,0.045436453006664344,0.056107539450613676,0.016666666666666666,0.25
7,Andrian CHEPTONAR,9,14,0.15254237288135594,0.17175572672117778,0.0770669245683857,0.08445353594389246,0.016666666666666666,0.25
8,Boris MARCOCI,7,14,0.11864406779661017,0.11892078698692218,0.010180623973727421,0.018702513150204558,0.016666666666666666,0.25
9,Lilian CARP,7,15,0.11864406779661017,0.1942447897881923,0.032167416886263976,0.015488018702513151,0.016666666666666666,0.25
10,Igor CHIRIAC,7,11,0.11864406779661017,0.25569136499224604,0.05205330196717197,0.034482758620689655,0.016666666666666666,0.25
11,Marina MOROZOVA,7,10,0.11864406779661017,0.0595512897410185,0.06676413662248354,0.04850964348334307,0.016666666666666666,0.25
12,Liliana NICOLAESCU-ONOFREI,7,14,0.11864406779661017,0.025324963463027327,0.033718977455327384,0.04324956165984804,0.016666666666666666,0.2
13,Doina GHERMAN,6,12,0.1016949152542373,0.08716706587437643,0.0,0.01841028638223261,0.016666666666666666,0.25
14,Vasile GRĂDINARU,6,9,0.1016949152542373,0.10711233102077362,0.023695184288404635,0.017241379310344827,0.016666666666666666,0.25
15,Larisa VOLOH,6,7,0.1016949152542373,0.08718844381962051,0.04998925816391747,0.04032729398012858,0.016666666666666666,0.25
16,Alina DANDARA,6,11,0.1016949152542373,0.10795880731209616,0.017158960131675383,0.025423728813559324,0.016666666666666666,0.2
17,Igor GROSU,5,6,0.0847457627118644,0.08962515085174394,0.04383888564192479,0.0058445353594389245,0.016666666666666666,0.25
18,Angela MUNTEANU-POJOGA,5,8,0.0847457627118644,0.0580815431451159,0.06797887959720068,0.056107539450613676,0.016666666666666666,0.2
19,Ana SPEIANU,4,4,0.06779661016949153,0.026936170729352824,0.014280441020728327,0.01841028638223261,0.016666666666666666,0.25
20,Sergiu LAZARENCU,4,6,0.06779661016949153,0.022430693647331076,0.05331677381648158,0.028345996493278784,0.016666666666666666,0.25
21,Oazu NANTOI,4,4,0.06779661016949153,0.03222067925586708,0.06643294628544867,0.055523085914669784,0.016666666666666666,0.25
22,Olesea STAMATE,4,4,0.06779661016949153,0.03067511977696868,0.028547491366249234,0.0070134424313267095,0.016666666666666666,0.2
23,Ina COȘERU,4,6,0.06779661016949153,0.020856579573152807,0.01682388808569251,0.012857977790765635,0.016666666666666666,0.2
24,Dorian ISTRATII,4,9,0.06779661016949153,0.03713278512347411,0.028858675033580444,0.014903565166569257,0.016666666666666666,0.25
25,Natalia DAVIDOVICI,3,3,0.05084745762711865,0.03124250296113664,0.009561613462840814,0.0011689070718877848,0.016666666666666666,0.25
26,Petru BURDUJA,3,3,0.05084745762711865,4.2019540388950646e-19,0.0011689070718877848,0.0011689070718877848,0.016666666666666666,1.0
27,Mariana CUȘNIR,3,5,0.05084745762711865,0.016037415654508377,0.0,0.003798947983635301,0.016666666666666666,0.2
28,Boris POPA,3,6,0.05084745762711865,0.1334644134111626,0.0,0.0,0.016666666666666666,0.2
29,Ion GROZA,3,4,0.05084745762711865,0.03691557802357057,0.0034447969719740607,0.0005844535359438924,0.016666666666666666,0.2
30,Ersilia QATRAWI,3,3,0.05084745762711865,0.0373539899896398,0.03592580223205588,0.030976037405026302,0.016666666666666666,0.2
31,Efimia BANDALAC,3,3,0.05084745762711865,0.009690267264615481,0.009231582755837577,0.002630040911747516,0.016666666666666666,0.2
32,Eugeniu SINCHEVICI,3,8,0.05084745762711865,0.024585269409075232,0.0008766803039158386,0.005260081823495032,0.016666666666666666,0.2
33,Ana RACU,2,2,0.03389830508474576,0.036146112450724306,0.005795830898110266,0.0058445353594389245,0.016666666666666666,0.16666666666666666
34,Marcela ADAM,2,3,0.03389830508474576,0.00713601996343177,0.00034093122930060394,0.004091174751607247,0.016666666666666666,0.2
35,Ana CALINICI,2,3,0.03389830508474576,0.08354979587003283,0.0,0.0,0.016666666666666666,0.2
36,Ion POIA,2,2,0.03389830508474576,0.016226352013693993,0.0,0.0,0.016666666666666666,0.25
37,Victor SPÎNU,2,3,0.03389830508474576,0.01719995708242726,0.0,0.0011689070718877848,0.016666666666666666,0.2
38,Liliana GROSU,2,2,0.03389830508474576,0.006196831124055299,0.010958503798947984,0.0035067212156633548,0.016666666666666666,0.2
39,Marcela NISTOR,2,2,0.03389830508474576,0.002095216241670734,0.027469316189362943,0.027469316189362946,0.016666666666666666,0.2
40,Vlad BATRÎNCEA,2,2,0.03389830508474576,4.718075338606389e-22,0.0005844535359438924,0.0005844535359438924,0.016666666666666666,1.0
41,Radu MUDREAC,2,2,0.03389830508474576,3.591148249906038e-19,0.0,0.0,0.016666666666666666,0.5
42,Corneliu FURCULIȚĂ,2,2,0.03389830508474576,3.591148249906038e-19,0.0,0.0,0.016666666666666666,0.5
43,Larisa NOVAC,2,4,0.03389830508474576,0.00637220310999668,0.0,0.0017533606078316774,0.016666666666666666,0.2
44,Alla PILIPEȚCAIA,1,1,0.01694915254237288,1.9363071772736165e-19,0.0,0.0,0.016666666666666666,0.5
45,Gheorghe ICHIM,1,2,0.01694915254237288,8.926031524481025e-20,0.0,0.0,0.016666666666666666,1.0
46,Evghenia COJOCARI,1,1,0.01694915254237288,0.0037609874060607162,0.0,0.0,0.016666666666666666,0.16666666666666666
47,Ion ȘPAC,1,1,0.01694915254237288,0.011121676639754573,0.0,0.0,0.016666666666666666,0.2
48,Maria GONȚA,1,1,0.01694915254237288,0.005645782160195682,0.0,0.0,0.016666666666666666,0.2
49,Oleg CANAȚUI,1,2,0.01694915254237288,8.926031524481025e-20,0.0,0.0,0.016666666666666666,1.0
50,Ion BABICI,1,1,0.01694915254237288,0.00510467537393942,0.0,0.0,0.016666666666666666,0.2
51,Alla DAROVANNAIA,1,1,0.01694915254237288,3.3361830660775943e-22,0.0,0.0,0.016666666666666666,0.5
52,Mariana LUCREȚEANU,1,1,0.01694915254237288,0.016678127700120816,0.0,0.0,0.016666666666666666,0.2
53,Virgiliu PÂSLARIUC,1,1,0.01694915254237288,0.002418818449096008,0.0,0.0,0.016666666666666666,0.16666666666666666
54,Diana CARAMAN,1,1,0.01694915254237288,3.534898433426936e-24,0.0,0.0,0.016666666666666666,1.0
55,Viorel BARDA,1,3,0.01694915254237288,0.012855609096796132,0.0,0.0,0.016666666666666666,0.2
56,Grigore NOVAC,1,4,0.01694915254237288,0.015043949624242865,0.0,0.0,0.016666666666666666,0.16666666666666666
57,Adela RĂILEANU,1,1,0.01694915254237288,3.3361830660775943e-22,0.0,0.0,0.016666666666666666,0.5
58,Vitali GAVROUC,1,1,0.01694915254237288,0.00013567188372631687,0.0,0.0,0.016666666666666666,0.16666666666666666
59,Maria PANCU,1,1,0.01694915254237288,0.016678127700120816,0.0,0.0,0.016666666666666666,0.2
60,Inga SIBOVA,1,1,0.01694915254237288,3.534898433426936e-24,0.0,0.0,0.016666666666666666,1.0
